,aligned_reads_sorted_SRR15838464.bam,aligned_reads_sorted_SRR15838465.bam,aligned_reads_sorted_SRR15838468.bam,aligned_reads_sorted_SRR15838469.bam
Os09g0471500,10,9,12,4
Os09g0471550,79,24,75,17
Os09g0471600,26,14,44,32
Os09g0471800,1067,657,1386,821
Os09g0471900,570,422,518,520
Os09g0472000,0,0,0,0
Os09g0472100,78,169,180,317
Os09g0472150,2,0,2,1
Os09g0472200,33,37,70,38
Os09g0472301,2,6,3,2
Os09g0472700,2284,2212,2859,2535
Os09g0472900,5298,4836,4890,4382
Os09g0473050,0,0,0,0
Os09g0473200,2,0,0,1
Os09g0473300,1550,1989,2176,3178
Os09g0473350,256,304,429,591
Os09g0473400,10,3,5,6
Os09g0473502,0,0,0,0
Os09g0473800,1553,1314,1880,1866
Os09g0473600,0,0,0,0
Os09g0473883,6,9,5,10
Os09g0473966,409,283,454,451
Os09g0474000,154,176,115,265
Os09g0474051,949,747,1159,978
Os09g0474100,576,614,672,1076
Os09g0474300,9564,4748,10439,4646
Os09g0474350,0,0,0,0
Os09g0474400,13,19,17,25
Os09g0474501,0,0,0,0
Os09g0474800,4146,5202,5995,7602
Os09g0475400,3760,2989,4999,4175
Os09g0475500,1558,4170,2175,6737
Os09g0475700,1590,1461,1686,2184
Os09g0475800,612,673,811,1026
Os09g0476000,3164,2596,3986,4579
Os09g0476100,2759,2955,3381,4730
Os09g0476401,0,0,0,0
Os09g0476700,0,0,0,1
Os09g0476800,155,83,164,107
Os09g0477100,0,0,2,0
Os09g0477550,1,1,0,1
Os09g0477700,1029,453,1018,517
Os09g0477900,1545,828,1879,885
Os09g0478000,59,91,116,129
Os09g0478100,1287,2871,917,2188
Os09g0478300,545,1400,829,2961
Os09g0478400,871,891,1152,1224
Os09g0478500,2988,2026,3295,2864
Os09g0478600,620,1138,903,1531
Os09g0478733,0,0,0,0
Os09g0478900,0,0,0,0
Os09g0479000,688,749,876,925
Os09g0479100,140,227,186,369
Os09g0479133,0,1,0,0
Os09g0479200,57,22,54,86
Os09g0479300,27,75,35,150
Os09g0479400,33,50,60,119
Os09g0479500,135,78,139,145
Os09g0479600,278,190,205,242
Os09g0479800,0,0,0,4
Os09g0479900,108,145,253,272
Os09g0480100,236,138,341,265
Os09g0480300,727,721,868,1120
Os09g0480400,306,193,307,196
Os09g0480466,0,0,0,0
Os09g0480532,0,0,0,3
Os09g0480600,2558,4746,2905,5944
Os09g0480700,847,813,1114,1249
Os09g0480900,0,0,0,0
Os09g0481100,1550,838,1529,1106
Os09g0481200,6434,2585,11844,4216
Os09g0481300,2692,2623,3504,3915
Os09g0481400,246,167,463,310
Os09g0481600,316,94,399,137
Os09g0481650,0,1,0,2
Os09g0481700,5533,5769,6738,8645
Os09g0481800,871,390,1304,457
Os09g0482000,244,238,361,409
Os09g0482100,25102,30222,37424,49339
Os09g0482200,20,28,12,30
Os09g0482300,2,2,0,8
Os09g0482400,1135,1302,1349,2024
Os09g0482500,2,1,1,4
Os09g0482550,0,1,0,2
Os09g0482600,623,580,1045,2435
Os09g0482620,2,0,0,1
Os09g0482640,48,35,73,24
Os09g0482650,0,0,1,0
Os09g0482660,25,44,22,130
Os09g0482681,7,30,12,109
Os09g0482700,160,111,170,121
Os09g0482680,2069,981,1918,910
Os09g0482720,855,1528,1283,2271
Os09g0482740,4749,7042,6850,11482
Os09g0482761,91,38,69,29
Os09g0482780,8,9,9,11
Os09g0482800,639,2429,1357,2239
Os09g0482821,0,0,0,2
Os09g0482840,8,8,6,8
Os09g0482860,8,6,17,2
Os09g0482900,235,145,245,170
Os09g0483100,10,21,8,11
Os09g0483200,0,0,0,0
Os09g0483150,0,0,0,0
Os09g0483300,4,27,10,43
Os09g0483400,54,65,108,104
Os09g0483350,0,1,1,1
Os09g0483500,96,163,156,202
Os09g0483600,209,216,303,310
Os09g0483700,0,2,8,11
Os09g0483800,7,2,26,23
Os09g0484200,15376,9973,24547,20285
Os09g0484300,1786,2351,2421,3806
Os09g0484800,558,1683,1347,2703
Os09g0484900,66,173,139,347
Os09g0485050,0,2,0,1
Os09g0485201,2,4,5,2
Os09g0485500,47,43,56,143
Os09g0485600,215,202,272,366
Os09g0485800,74,77,102,92
Os09g0485900,34847,23068,36072,23851
Os09g0485950,0,1,0,0
Os09g0486000,0,0,0,0
Os09g0486375,0,0,0,0
Os09g0486500,5790,11938,10948,15231
Os09g0486700,61,65,92,119
Os09g0486900,0,0,0,0
Os09g0487100,2781,2444,3398,3864
Os09g0487150,6,2,8,0
Os09g0487200,1385,289,1427,371
Os09g0487500,2350,2112,3081,3482
Os09g0487600,766,2499,1275,3755
Os09g0487700,898,801,1085,903
Os09g0487900,1818,3845,2103,2093
Os09g0488000,321,187,446,362
Os09g0488600,209,81,202,110
Os09g0488700,327,317,552,532
Os09g0488750,1,1,0,1
Os09g0488800,866,450,1005,806
Os09g0489200,2803,2992,3252,3640
Os09g0489500,291,211,288,403
Os09g0489800,52,36,77,81
Os09g0490200,2713,2885,2828,3690
Os09g0490400,94,31,103,80
Os09g0490750,0,0,0,0
Os09g0491100,627,541,818,911
Os09g0491238,2,0,0,3
Os09g0491532,321,255,427,333
Os09g0491596,136,83,210,148
Os09g0491612,13,4,20,10
Os09g0491628,0,0,0,0
Os09g0491644,761,1257,963,2249
Os09g0491652,17,29,29,81
Os09g0491660,18,28,15,52
Os09g0491676,1247,1313,1485,2309
Os09g0491789,1,1,3,7
Os09g0491692,404,350,700,707
Os09g0491708,3168,5777,2861,7764
Os09g0491740,4468,10917,5036,21302
Os09g0491756,1766,3690,2728,7212
Os09g0491772,473,438,427,400
Os09g0491780,0,0,0,0
Os09g0491788,909,653,1179,813
Os09g0491822,266,379,243,565
Os09g0491820,1190,615,2372,759
Os09g0491852,1365,1642,1556,2146
Os09g0491868,0,0,0,0
Os09g0492700,3336,4380,5255,8517
Os09g0492733,0,1,0,0
Os09g0492800,10,5,12,6
Os09g0492900,0,14,4,8
Os09g0493000,57,123,85,134
Os09g0493200,0,1,1,4
Os09g0493400,125,145,128,163
Os09g0493500,765,948,1017,1486
Os09g0493600,4956,7677,5101,10307
Os09g0493700,2585,3172,3459,4091
Os09g0493800,2521,1732,3325,2359
Os09g0494200,7348,2732,6895,3421
Os09g0494300,3219,3197,3641,4577
Os09g0494500,11,4,14,16
Os09g0494600,1168,698,922,1007
Os09g0494800,10,4,15,13
Os09g0495000,8,5,10,7
Os09g0495100,0,0,2,2
Os09g0495200,479,408,642,563
Os09g0495300,4,5,7,4
Os09g0495500,171,71,158,97
Os09g0496250,0,0,0,0
Os09g0497000,3347,1892,3289,2134
Os09g0497100,360,288,306,316
Os09g0497400,8663,7926,10517,11730
Os09g0497500,5,1,18,14
Os09g0497600,3966,2822,5849,4439
Os09g0497700,4161,1648,4222,1890
Os09g0497900,604,619,584,1020
Os09g0498000,1330,1543,1742,2447
Os09g0498100,1889,1534,2017,2013
Os09g0498200,20,9,31,33
Os09g0498300,0,0,0,0
Os09g0498400,24,7,26,24
Os09g0498500,214,174,515,606
Os09g0498600,1378,1686,1730,2364
Os09g0498700,1,0,0,0
Os09g0498800,4448,3215,4367,3292
Os09g0499000,1681,2887,3168,4954
Os09g0499201,0,0,0,0
Os09g0499300,194,95,352,208
Os09g0499400,4,3,7,8
Os09g0499450,10,4,8,13
Os09g0499500,0,2,2,0
Os09g0499600,938,952,1064,1334
Os09g0500100,14,42,23,43
Os09g0500151,1,11,0,14
Os09g0500200,835,820,1022,1188
Os09g0500300,36,37,55,42
Os09g0500600,1733,1847,2027,2536
Os09g0500900,685,209,766,216
Os09g0500966,0,0,0,0
Os09g0501100,20,21,25,60
Os09g0501200,68,50,73,34
Os09g0501150,0,0,0,0
Os09g0501600,13,10,35,11
Os09g0501650,0,0,0,0
Os09g0501700,12,1,15,5
Os09g0501825,0,0,1,0
Os09g0501850,3635,2583,3994,3045
Os09g0502000,739,500,613,493
Os09g0502033,0,0,0,0
Os09g0502100,1022,586,969,817
Os09g0502150,0,1,1,0
Os09g0502200,549,372,910,514
Os09g0502350,59,85,197,143
Os09g0502500,163,242,130,245
Os09g0502566,9,2,17,20
Os09g0502600,0,0,0,0
Os09g0502800,220,218,316,263
Os09g0502900,507,518,578,491
Os09g0502950,42,10,33,9
Os09g0503000,25,4,31,21
Os09g0503100,606,536,648,611
Os09g0503250,8,10,7,7
Os09g0503400,6387,5999,6081,7380
Os09g0503700,360,353,485,506
Os09g0503850,1,3,3,7
Os09g0504000,0,0,0,0
Os09g0504400,5559,5513,7089,7346
Os09g0504700,4067,5129,4333,7561
Os09g0504800,470,384,520,504
Os09g0504900,750,635,934,863
Os09g0505000,42,34,137,124
Os09g0505100,2608,2080,2684,2902
Os09g0505200,179,180,229,234
Os09g0505300,4062,3549,4886,4372
Os09g0505400,76,49,59,57
Os09g0505600,9458,7845,10310,10167
Os09g0505700,5061,5394,5964,7420
Os09g0505800,1041,866,1257,1243
Os09g0505850,5,5,3,9
Os09g0505900,0,0,0,0
Os09g0505950,0,0,0,0
Os09g0506000,294,386,560,825
Os09g0506150,0,0,0,0
Os09g0506301,0,0,0,0
Os09g0506450,637,419,848,428
Os09g0506700,6,10,8,5
Os09g0506800,18,12,12,14
Os09g0506900,1642,2091,2188,3175
Os09g0507100,294,189,389,372
Os09g0507200,4,6,4,2
Os09g0507300,8,0,3,3
Os09g0507350,0,0,0,0
Os09g0507400,1375,1795,2386,3482
Os09g0507500,6,6,17,12
Os09g0507550,0,0,0,0
Os09g0507600,53,41,68,78
Os09g0507701,0,0,0,0
Os09g0507800,23939,16684,24274,16750
Os09g0508000,65,50,157,102
Os09g0508200,24,13,35,12
Os09g0508250,4,0,10,0
Os09g0508300,2645,2926,3167,5082
Os09g0508401,0,0,0,0
Os09g0508500,2887,1914,3702,3001
Os09g0508900,5354,3734,7526,4530
Os09g0508951,4,0,0,2
Os09g0509000,8821,8585,8711,10826
Os09g0509050,8,7,10,1
Os09g0509100,81,44,104,79
Os09g0509200,13116,14027,11942,17364
Os09g0509350,42,47,17,73
Os09g0509300,0,1,0,1
Os09g0509400,35,21,33,46
Os09g0509450,1,0,2,2
Os09g0509500,1216,2782,1408,4011
Os09g0509700,738,1674,974,2374
Os09g0509800,0,0,2,6
Os09g0509900,0,0,8,4
Os09g0510000,1540,1239,1950,2123
Os09g0510200,604,618,633,814
Os09g0510500,1148,677,1167,705
Os09g0510700,2756,2139,3070,3171
Os09g0510900,171,106,218,171
Os09g0511000,1346,1473,2005,2456
Os09g0511200,258,225,624,245
Os09g0511300,330,274,418,261
Os09g0511500,2461,2487,3029,3666
Os09g0511600,2243,5089,2597,5831
Os09g0511700,4239,9022,4418,13569
Os09g0511900,1363,753,1601,372
Os09g0512000,5,0,7,10
Os09g0512066,0,0,0,0
Os09g0512200,144,90,146,146
Os09g0512700,1492,1323,1851,1848
Os09g0512800,1458,1508,2010,2115
Os09g0512900,4216,5868,5955,9961
Os09g0512950,132,190,163,297
Os09g0513000,1704,1869,1982,2987
Os09g0513100,1818,4382,2626,9582
Os09g0513200,1307,1554,2088,2394
Os09g0513400,506,758,934,1096
Os09g0513500,85,110,185,119
Os09g0513600,3677,5524,4412,7672
Os09g0513700,1753,2006,2173,3176
Os09g0513800,204,275,372,472
Os09g0513850,0,0,0,0
Os09g0513900,295,301,435,453
Os09g0514100,524,485,658,660
Os09g0514200,89,94,125,100
Os09g0514300,490,379,565,413
Os09g0514350,2,0,3,1
Os09g0514400,2213,2886,3316,4742
Os09g0514500,30,6,29,28
Os09g0514550,11,4,5,5
Os09g0514600,2255,2343,3396,3762
Os09g0514700,862,718,1027,974
Os09g0514900,1426,1555,1741,2253
Os09g0515100,8409,7757,9401,10516
Os09g0515200,11585,9420,11292,11195
Os09g0515300,661,627,948,811
Os09g0515400,1962,1332,2665,1779
Os09g0515500,2274,1485,2059,1499
Os09g0515550,7,32,20,57
Os09g0515800,3820,3663,4843,5144
Os09g0516200,1330,1552,1524,2510
Os09g0516300,3390,4218,4452,6566
Os09g0516451,186,225,324,297
Os09g0516500,0,0,0,0
Os09g0516600,7111,7050,8998,10451
Os09g0516700,363,212,364,392
Os09g0516750,0,0,1,0
Os09g0516800,188,202,365,424
Os09g0516900,3025,3207,3989,4566
Os09g0517000,904,830,2117,1747
Os09g0517100,552,572,824,693
Os09g0517200,661,1053,560,827
Os09g0517600,677,339,674,603
Os09g0517700,1665,1643,1911,2243
Os09g0517800,69,54,59,54
Os09g0517825,0,0,0,0
Os09g0517900,311,158,224,150
Os09g0517950,0,0,0,0
Os09g0518000,364,2984,591,7739
Os09g0518200,74,249,72,275
Os09g0518266,0,0,0,0
Os09g0518332,31,25,27,19
Os09g0518400,0,4,0,0
Os09g0518500,10086,8943,13275,11737
Os09g0518600,153,147,186,194
Os09g0518700,2952,2931,3676,3821
Os09g0518750,51,15,86,51
Os09g0518800,545,455,724,619
Os09g0518900,49,27,64,48
Os09g0519000,2,0,2,1
Os09g0519100,24,5,59,42
Os09g0519150,93,34,87,56
Os09g0519200,975,869,1856,1894
Os09g0519601,0,0,0,0
Os09g0520000,3,2,0,0
Os09g0520100,1281,1681,1525,2473
Os09g0520200,3084,3854,3550,5390
Os09g0520300,82,63,82,64
Os09g0520400,0,0,0,0
Os09g0520500,63,72,71,126
Os09g0520525,1,1,1,4
Os09g0520550,24,23,42,58
Os09g0520600,2039,1769,2110,2186
Os09g0520700,13332,15144,13865,17687
Os09g0520800,123,266,239,831
Os09g0520950,0,0,0,0
Os09g0521100,241,198,532,378
Os09g0521300,12,4,12,16
Os09g0521350,0,0,0,0
Os09g0521400,5780,4481,7399,6924
Os09g0521500,2795,2986,3312,3840
Os09g0521800,44,45,69,58
Os09g0521700,476,425,490,517
Os09g0521900,799,790,962,959
Os09g0522000,2745,1205,4867,1199
Os09g0522100,259,248,904,284
Os09g0522200,1162,705,2307,691
Os09g0522500,0,0,0,0
Os09g0522800,17,15,11,12
Os09g0523050,0,1,0,0
Os09g0523200,484,555,659,730
Os09g0523700,0,0,0,1
Os09g0524001,0,2,1,0
Os09g0524300,0,0,0,0
Os09g0524500,121,171,377,541
Os09g0524800,4425,2721,5704,2436
Os09g0525200,1544,1576,1619,1930
Os09g0525300,3631,3819,4484,6007
Os09g0525400,3613,3479,5104,5477
Os09g0525500,34,72,48,73
Os09g0525600,3424,3684,3890,5007
Os09g0525650,0,1,0,0
Os09g0525700,492,470,761,884
Os09g0525900,10436,8894,12833,12496
Os09g0526000,139,122,112,151
Os09g0526200,2744,2110,3717,4007
Os09g0526300,719,584,934,1083
Os09g0526500,130,92,129,76
Os09g0526600,89,577,194,1214
Os09g0526650,0,1,0,1
Os09g0526700,1104,1808,2024,3356
Os09g0526800,3630,2318,4843,3174
Os09g0527100,1061,1260,1553,1857
Os09g0527500,192,59,164,37
Os09g0527600,320,428,486,766
Os09g0527650,0,2,0,4
Os09g0527700,35,20,8,15
Os09g0527900,848,1070,1049,1178
Os09g0528000,71,101,91,135
Os09g0528050,0,0,1,3
Os09g0528100,850,792,1001,1195
Os09g0528200,1759,2318,2193,4318
Os09g0528300,2682,3105,3323,4386
Os09g0528500,0,0,0,0
Os09g0528700,0,0,0,0
Os09g0528750,0,0,2,4
Os09g0528800,3736,3316,4987,4869
Os09g0529100,4939,5171,5923,6643
Os09g0529300,171,76,159,76
Os09g0529325,78,47,98,60
Os09g0529350,227,144,282,236
Os09g0529400,310,366,352,633
Os09g0529700,1474,1740,2118,2837
Os09g0529900,530,328,751,523
Os09g0530000,8086,5633,5553,5399
Os09g0530200,15,1,32,15
Os09g0530250,67,88,76,103
Os09g0530275,33,7,32,13
Os09g0530300,811,1230,619,1028
Os09g0530350,0,0,0,0
Os09g0530500,1831,1742,2105,2528
Os09g0530600,1458,1419,1707,2136
Os09g0530700,5016,7058,5726,10861
Os09g0530750,51,40,49,79
Os09g0530800,14,12,10,10
Os09g0530900,358,414,455,753
Os09g0531100,3283,1799,3956,2430
Os09g0531200,0,0,0,0
Os09g0531600,124,92,152,138
Os09g0531650,0,0,0,0
Os09g0531701,2,0,0,12
Os09g0531800,233,249,227,337
Os09g0531850,0,0,0,0
Os09g0531900,2474,2816,2941,3814
Os09g0531950,0,0,0,0
Os09g0532000,2450,5911,3559,12464
Os09g0532200,0,0,0,0
Os09g0532400,1550,5803,1789,4908
Os09g0532500,213,181,252,248
Os09g0532700,1186,570,1326,637
Os09g0532800,314,321,338,524
Os09g0532900,1598,1484,2278,2150
Os09g0533100,7488,6504,8419,7680
Os09g0533200,90,22,132,65
Os09g0533300,3268,3107,4654,4991
Os09g0533400,25948,31464,41493,44459
Os09g0533600,281,291,525,378
Os09g0533650,10,10,26,22
Os09g0533800,3,0,0,0
Os09g0533900,11472,5731,13396,7002
Os09g0534000,857,1183,987,2148
Os09g0534200,6490,6022,7737,8664
Os09g0534600,2,3,9,6
Os09g0534650,1,0,0,0
Os09g0534800,3700,6252,4653,10177
Os09g0535000,25786,14656,35484,16682
Os09g0535100,3200,3798,4159,5734
Os09g0535200,0,0,0,2
Os09g0535300,2290,2285,2588,2761
Os09g0535400,33,37,63,69
Os09g0535500,0,2,8,11
Os09g0535900,1583,3386,2957,8703
Os09g0536000,456,440,629,616
Os09g0536100,8,2,7,11
Os09g0536183,0,0,0,0
Os09g0536200,876,673,1126,1112
Os09g0536300,6,1,3,1
Os09g0536350,0,0,0,0
Os09g0536400,666,436,843,766
Os09g0536550,0,0,0,0
Os09g0536700,5093,7827,5606,8991
Os09g0536800,5,0,8,1
Os09g0537000,124,99,161,144
Os09g0537100,0,1,1,0
Os09g0537200,1044,798,1152,998
Os09g0537600,1611,1105,1977,1495
Os09g0537700,9175,8881,23056,13142
Os09g0538000,5365,3364,9605,7676
Os09g0538200,2402,1813,3254,2787
Os09g0538400,4055,2295,4302,4251
Os09g0538450,52,29,58,33
Os09g0538500,626,305,972,332
Os09g0538600,814,1148,1053,1589
Os09g0538700,530,522,606,584
Os09g0538800,686,593,690,1008
Os09g0538901,0,1,0,1
Os09g0539000,635,886,724,1734
Os09g0539100,5204,3492,5624,4382
Os09g0539200,341,377,329,514
Os09g0539400,179,35,237,37
Os09g0539500,1477,1435,1713,2128
Os09g0539700,28,24,42,43
Os09g0539800,4969,1927,5030,2512
Os09g0539901,106,46,126,108
Os09g0540000,154,89,250,141
Os09g0540150,11,5,15,2
Os09g0540300,0,0,0,0
Os09g0540325,0,0,0,0
Os09g0540350,6,5,8,2
Os09g0540400,0,0,0,0
Os09g0540500,811,638,937,1073
Os09g0540600,959,297,899,279
Os09g0540800,334,159,526,461
Os09g0540900,2292,2444,2897,3567
Os09g0541000,14490,4012,11232,4646
Os09g0541050,1,0,0,0
Os09g0541100,128,92,239,166
Os09g0541300,4,11,25,22
Os09g0541500,1464,941,1681,1057
Os09g0541600,212,220,240,286
Os09g0541700,2284,3112,3614,5266
Os09g0541900,4634,3991,5138,5256
Os09g0542000,6495,3805,6059,3633
Os09g0542100,9099,11628,9454,17318
Os09g0542200,5004,5334,7915,9220
Os09g0542500,239,206,317,268
Os09g0542550,2,1,1,0
Os09g0542600,311,226,407,99
Os09g0542700,303,156,384,325
Os09g0542800,442,273,343,221
Os09g0542900,451,548,972,724
Os09g0543100,3250,4266,4866,8158
Os09g0543400,54,43,65,128
Os09g0543900,177,236,338,576
Os09g0544000,556,295,388,702
Os09g0544300,4787,5133,6173,7663
Os09g0544400,1601,1316,1852,1758
Os09g0544700,101,66,144,126
Os09g0544750,2,0,0,1
Os09g0544800,1567,2096,1835,3402
Os09g0544900,2271,3464,2829,5234
Os09g0545000,4,1,4,3
Os09g0545051,0,0,0,0
Os09g0545100,7,4,12,3
Os09g0545250,7,3,10,4
Os09g0545300,443,892,872,2231
Os09g0545320,85,76,152,210
Os09g0545400,138,278,213,463
Os09g0545500,1,3,2,3
Os09g0545550,0,2,2,0
Os09g0545650,0,0,0,0
Os09g0545700,0,0,0,0
Os09g0545801,13,14,28,13
Os09g0545901,15,4,18,16
Os09g0545999,37,29,74,38
Os09g0546100,17,31,23,20
Os09g0546200,114,98,135,145
Os09g0546400,311,283,319,288
Os09g0546700,29,14,46,21
Os09g0546900,250,201,429,151
Os09g0546950,0,1,0,1
Os09g0547000,0,0,0,0
Os09g0547033,4,0,4,0
Os09g0547067,1,0,0,0
Os09g0547100,466,240,424,244
Os09g0547200,825,329,1017,289
Os09g0547300,4861,4242,5985,6518
Os09g0547500,728,1040,1007,1875
Os09g0547800,55,52,46,58
Os09g0547900,221,144,259,195
Os09g0548066,32,14,46,25
Os09g0548083,87,44,109,52
Os09g0548100,45,14,49,23
Os09g0548200,2226,990,2758,1285
Os09g0548300,1128,1234,1334,1721
Os09g0548400,746,608,811,525
Os09g0548600,0,0,0,0
Os09g0548700,430,262,638,381
Os09g0549300,85,159,149,433
Os09g0549400,765,735,841,983
Os09g0549425,12,15,27,22
Os09g0549450,2134,1006,1785,1335
Os09g0549500,99,104,173,235
Os09g0549600,77,45,91,35
Os09g0549700,126,63,121,63
Os09g0550000,2370,2856,2936,3935
Os09g0550150,0,0,0,0
Os09g0550300,0,1,1,0
Os09g0550400,11,21,13,34
Os09g0550500,0,0,4,0
Os09g0550600,5,7,1,5
Os09g0550650,0,0,0,0
Os09g0551000,93,160,137,191
Os09g0551100,0,2,1,4
Os09g0551150,6,0,6,0
Os09g0551201,0,2,3,2
Os09g0551251,31,0,13,21
Os09g0551300,6102,3880,4809,3363
Os09g0551400,25,10,37,30
Os09g0551500,3,18,4,27
Os09g0551550,0,0,0,0
Os09g0551600,10907,8278,12225,10428
Os09g0551800,758,573,797,605
Os09g0551900,1911,2370,2097,3545
Os09g0552300,1070,846,1223,1310
Os09g0552500,84,38,99,108
Os09g0552600,106,350,174,1058
Os09g0552800,98,54,90,80
Os09g0552900,27,36,44,67
Os09g0553100,8488,9385,11719,16821
Os09g0553200,9908,4252,11100,5126
Os09g0553250,4,1,4,1
Os09g0553300,2206,3063,3088,3504
Os09g0553600,2806,3279,3357,4396
Os09g0553700,224,240,266,416
Os09g0553750,0,0,0,0
Os09g0553800,976,1047,1146,1296
Os09g0553900,1158,639,3284,1873
Os09g0554000,113,249,147,220
Os09g0554101,3,2,3,8
Os09g0554200,144,594,275,1472
Os09g0554300,5253,6201,5530,7016
Os09g0555100,143,66,183,150
Os09g0555150,137,94,216,143
Os09g0555200,1343,1335,1368,1466
Os09g0555300,510,350,778,684
Os09g0555400,256,255,277,347
Os09g0555450,339,235,406,287
Os09g0555500,1144,4498,1543,6543
Os09g0555550,0,0,0,0
Os09g0555600,1061,797,1185,870
Os09g0555700,1366,1408,1957,2786
Os09g0555800,15,7,12,20
Os09g0555850,0,0,0,0
Os09g0556000,4636,3441,4935,3902
Os09g0556200,3522,3483,4274,4331
Os09g0556300,3896,1700,3638,1350
Os09g0556400,1820,3469,2246,4171
Os09g0556500,3034,1350,3852,1613
Os09g0556700,332,509,413,665
Os09g0556750,0,0,0,0
Os09g0556800,690,313,910,188
Os09g0557250,3,0,3,6
Os09g0557400,1611,1073,1909,1308
Os09g0557500,124,365,312,640
Os09g0557700,1839,1453,2112,1785
Os09g0557800,8593,6582,9014,8665
Os09g0557900,472,146,733,298
Os09g0558000,1557,1897,1759,3091
Os09g0558100,1638,1299,1884,1630
Os09g0558050,0,0,0,1
Os09g0558200,672,754,776,790
Os09g0558250,18,7,24,16
Os09g0558300,2780,2916,3263,4748
Os09g0558450,9,23,22,27
Os09g0558600,15,4,17,18
Os09g0558800,4,24,0,12
Os09g0558850,10,21,4,40
Os09g0558900,2783,2962,3076,3652
Os09g0559000,0,0,0,0
Os09g0559050,0,0,0,0
Os09g0559100,0,0,0,0
Os09g0559150,0,0,0,0
Os09g0559200,6,4,13,2
Os09g0559500,166,89,229,167
Os09g0559600,815,1061,852,1485
Os09g0559800,2563,1520,2933,2410
Os09g0559900,57,30,38,21
Os09g0560000,1917,936,2092,1017
Os09g0560100,544,367,556,452
Os09g0560150,100,89,132,88
Os09g0560200,148,44,243,134
Os09g0560300,3210,2297,3457,3048
Os09g0560400,1566,1292,1726,1811
Os09g0560450,724,569,693,805
Os09g0560500,1333,1133,2103,1598
Os09g0560600,2119,1061,2723,1359
Os09g0560700,938,1118,1022,1653
Os09g0560800,555,393,798,457
Os09g0560850,84,73,214,143
Os09g0560900,4140,4891,5674,7954
Os09g0561000,0,0,0,0
Os09g0561450,2,1,1,3
Os09g0561466,0,0,0,0
Os09g0561500,125,81,198,106
Os09g0561600,113,112,159,129
Os09g0562200,2,0,10,2
Os09g0562400,626,544,712,862
Os09g0562600,334,404,416,407
Os09g0562700,182,295,299,609
Os09g0562750,11,60,52,79
Os09g0563200,4242,6441,4724,9836
Os09g0563225,1,0,0,2
Os09g0563250,486,480,700,782
Os09g0563275,0,0,1,2
Os09g0563300,835,450,705,313
Os09g0563700,129,180,143,323
Os09g0563800,2353,1571,3018,2094
Os09g0563901,142,86,161,148
Os09g0563950,0,0,0,0
Os09g0564000,5450,1612,9797,4762
Os09g0564200,6267,1481,10482,5319
Os09g0564400,0,0,0,0
Os09g0564450,1,5,0,0
Os09g0564600,4,12,4,16
Os09g0564700,10,3,108,18
Os09g0564800,21,19,33,31
Os09g0565000,0,0,1,0
Os09g0565200,1340,728,1667,767
Os09g0565250,0,0,2,0
Os09g0565300,395,389,570,430
Os09g0565350,4,8,4,12
Os09g0565400,3064,2637,3365,3820
Os09g0565500,7088,5938,7021,7205
Os09g0565600,1019,856,1110,813
Os09g0565700,238,279,239,440
Os09g0565900,0,0,0,0
Os09g0566075,6,3,2,1
Os09g0566050,23,13,27,22
Os09g0566100,2884,2453,3327,3942
Os09g0566300,0,0,0,0
Os09g0566400,0,0,0,0
Os09g0566550,2183,1733,2529,2453
Os09g0566600,0,0,0,0
Os09g0566700,2,3,0,2
Os09g0567000,2705,2048,2797,2689
Os09g0567100,0,1,0,0
Os09g0567201,28,48,41,95
Os09g0567300,16078,12841,16759,14667
Os09g0567366,13331,9016,20278,13169
Os09g0567400,4322,6799,4973,9207
Os09g0567500,881,290,1102,445
Os09g0567600,5,6,20,3
Os09g0567700,3243,3442,4124,5215
Os09g0567800,346,202,422,270
Os09g0567900,1963,1208,2262,1515
Os09g0568000,1483,1342,1826,1811
Os09g0568050,0,2,1,0
Os09g0568100,754,516,1012,738
Os09g0568200,512,247,520,317
Os09g0568266,4096,1914,3278,1689
Os09g0568400,1503,652,1172,584
Os09g0568500,0,0,0,0
Os09g0568600,0,2,0,1
Os09g0568700,9,7,18,4
Os09g0568800,7893,4459,8006,4744
Os09g0568900,5466,4902,6222,6172
Os09g0569000,8,1,7,11
Os09g0569100,17,30,24,54
Os09g0569151,33,30,46,39
Os09g0569200,1500,952,1386,1308
Os09g0569300,496,481,557,634
Os09g0569400,3839,3577,4244,4432
Os09g0569450,576,334,572,498
Os09g0569780,70,47,83,61
Os09g0569700,95,78,90,163
Os09g0569800,406,445,397,450
Os09g0569900,10,17,9,30
Os09g0570000,1041,994,1328,1378
Os09g0570100,111,119,127,103
Os09g0570150,0,2,0,0
Os09g0570200,1678,1116,1595,1362
Os09g0570300,2223,1806,2727,2730
Os09g0570400,13256,7216,16457,10030
Os09g0570500,2167,1863,2625,2525
Os09g0570600,1751,1229,1865,1595
Os09g0570800,68,58,57,90
Os09g0570850,37,104,38,126
Os09g0570900,954,627,1054,721
Os09g0570951,0,0,0,0
Os09g0571000,138,99,217,201
Os09g0571033,3,3,8,10
Os09g0571100,99,124,179,191
Os09g0571200,1740,1619,2733,2558
Os09g0571400,2384,1257,1831,1011
Os09g0571500,1413,1378,1623,1668
Os09g0571700,2,0,0,0
Os09g0572000,28,33,81,53
Os09g0572100,16,28,40,46
Os09g0572150,1,0,1,2
Os09g0572200,507,367,498,574
Os09g0572250,3,5,6,4
